id,precipitation (mm/yr),w,B,Q (kg/s),A (km^2),R (km),T(C),Qs (MT/y),Qs (T/y),density (kg/m^3),volume (m^3/yr),erosion (m/yr),erosion (mm/yr),fault_id,distance
38,84.0,0.0006,1,29.195952104144517,0.7966801086768026,0.419,19.69166717529297,0.11514746375533712,115147.46375533711,2700,42.647208798273006,5.3531158031678854e-05,0.053531158031678856,0,32046.345926
39,217.47457627118644,0.0006,1,170.89491383534224,8.559960911472903,2.951,12.373163837497518,32.04808932800377,32048089.328003768,2700,11869.66271407547,0.0013866491724473387,1.3866491724473387,0,32671.1587803
41,76.0,0.0006,1,28.582269156760397,0.8093498225405094,0.307,20.616667175292967,0.0878498584913902,87849.8584913902,2700,32.53698462644081,4.020138600180181e-05,0.04020138600180181,0,33461.1821416
43,76.25,0.0006,1,41.2391086121885,1.4595453958044842,0.682,20.55625,0.506298210660734,506298.210660734,2700,187.51785580027183,0.00012847689173580944,0.12847689173580945,0,34612.2157757
44,79.0,0.0006,1,38.81009092306041,1.300170842616689,0.863,20.254166412353516,0.5292020314039397,529202.0314039397,2700,196.00075237182952,0.0001507499983443435,0.1507499983443435,0,34928.9804325
45,92.5,0.0006,1,45.544320580332574,1.5553317920396048,1.104,18.925,0.8880010699663926,888001.0699663926,2700,328.88928517273797,0.00021145924416644547,0.21145924416644546,0,35583.7366057
46,70.0,0.0006,1,22.179652980095106,0.5602033907332175,0.163,21.44166717529297,0.026055408432016782,26055.408432016782,2700,9.650151271117327,1.722615648307092e-05,0.01722615648307092,0,36170.0353879
47,76.0,0.0006,1,36.18357254751319,1.1839172264459756,0.464,20.55833282470703,0.24518274763592848,245182.74763592848,2700,90.80842505034389,7.670166716210682e-05,0.07670166716210682,0,36346.4435931
48,69.0,0.0006,1,22.400107223170824,0.5733214519101764,0.225,21.71666717529297,0.037650888838981655,37650.88883898166,2700,13.944773644067281,2.432278366282384e-05,0.02432278366282384,0,36963.4563107
49,78.0,0.0006,1,32.20941763771561,0.9686862571068818,0.512,20.416666666666664,0.19569154438892603,195691.54438892604,2700,72.47834977367631,7.482128423101937e-05,0.07482128423101937,0,36624.0905206
50,140.8421052631579,0.0006,1,85.68528442134918,3.493208110966862,1.893,15.475877139442847,5.261236691047471,5261236.691047471,2700,1948.6061818694336,0.0005578271090553754,0.5578271090553754,0,37299.3916289
52,74.75,0.0006,1,37.95220113239206,1.289290560601998,0.723,20.770833206176757,0.44089100443739826,440891.0044373983,2700,163.2929646064438,0.00012665334688419556,0.12665334688419555,0,37807.7178669
54,109.58823529411765,0.0006,1,73.58721763962205,3.098058525405139,1.51,17.59803933536305,3.6348331645123073,3634833.1645123074,2700,1346.2345053749286,0.0004345413407575569,0.4345413407575569,0,38682.8429184
55,73.0,0.0006,1,38.135580147481896,1.3148354498439352,0.572,20.886110941569008,0.3594236267216977,359423.6267216977,2700,133.1198617487769,0.00010124450307799171,0.10124450307799171,0,39150.0979228
57,74.5,0.0006,1,32.02265695842555,0.981926318949892,0.603,20.579166412353516,0.2341168140114827,234116.8140114827,2700,86.70993111536396,8.830594459276204e-05,0.08830594459276205,0,39990.2237556
58,80.8,0.0006,1,43.360998378678396,1.5373651016357777,0.705,20.093333435058593,0.566589667067343,566589.667067343,2700,209.84802483975668,0.00013649849643163845,0.13649849643163844,0,40145.1288181
59,76.5,0.0006,1,33.97381323549146,1.0659991416998356,0.285,20.3375,0.1259490297800528,125949.02978005279,2700,46.64778880742696,4.3759687022864474e-05,0.04375968702286447,0,41977.3179295
60,96.14285714285714,0.0006,1,54.54268113047955,2.040466001871053,1.06,18.503571210588728,1.3097201736355606,1309720.1736355606,2700,485.0815457909483,0.0002377307660829151,0.2377307660829151,0,42537.6244808
61,84.66666666666667,0.0006,1,41.5934198437252,1.404345015771536,0.509,19.466666666666665,0.34726344730843833,347263.4473084383,2700,128.6160915957179,9.15843971041954e-05,0.0915843971041954,0,42655.1080597
62,96.25,0.0006,1,47.194607178824334,1.6148271523443147,0.918,18.458333206176757,0.7748271533887341,774827.1533887341,2700,286.97301977360524,0.00017771129210763766,0.17771129210763767,0,42785.2543938
63,212.20731707317074,0.0006,1,151.75785165068794,7.154933151920186,2.782,12.642276419662847,22.913445984931833,22913445.984931834,2700,8486.46147590068,0.001186099338136115,1.186099338136115,0,43209.8067393
65,87.25,0.0006,1,56.846008700120585,2.289699744762457,0.877,19.239583015441895,1.3177256869633538,1317725.6869633538,2700,488.04655072716804,0.00021314871167870092,0.21314871167870092,0,44498.0286977
67,204.71794871794873,0.0006,1,147.50101487848534,6.95790515810434,2.457,12.945512796059635,19.58615460576597,19586154.60576597,2700,7254.131335468877,0.0010425740464455027,1.0425740464455027,0,45365.2474102
68,84.66666666666667,0.0006,1,35.82613285886608,1.1038698029703884,0.352,19.513888549804687,0.1629879582429666,162987.95824296662,2700,60.36591046035801,5.4685715922222156e-05,0.054685715922222156,0,46727.7642172
69,85.66666666666667,0.0006,1,41.14498926268582,1.3719272651526222,0.594,19.33888905843099,0.3890606050623347,389060.6050623347,2700,144.0965203934573,0.00010503218651130681,0.10503218651130682,0,47392.0933833
70,104.25,0.0006,1,48.552141707790824,1.6242501782287284,1.065,17.737500381469726,0.8938293087251235,893829.3087251234,2700,331.04789212041607,0.00020381582625493644,0.20381582625493644,0,48148.3528916
71,80.33333333333333,0.0006,1,40.0344348355533,1.355572010693256,0.629,20.00277811686198,0.4096835333331131,409683.53333311307,2700,151.73464197522705,0.00011193403284981379,0.11193403284981379,0,48621.8217826
72,76.0,0.0006,1,31.548968391255976,0.9490983287293462,0.431,20.541667175292968,0.1590598543653654,159059.8543653654,2700,58.91105717235756,6.207055200616331e-05,0.06207055200616331,0,49080.9007084
73,71.0,0.0006,1,21.04995112730935,0.5112658443967221,0.219,20.96666717529297,0.029649859420316244,29649.859420316243,2700,10.981429414931942,2.1478902874667266e-05,0.021478902874667267,0,49264.5322788
74,89.16666666666667,0.0006,1,51.16735252722331,1.9113444970845055,0.897,19.03888880411784,1.0021141809005765,1002114.1809005765,2700,371.15340033354687,0.00019418446067660257,0.19418446067660258,0,49643.6883066
75,74.0,0.0006,1,26.81895333184769,0.7401548117571898,0.302,20.85833282470703,0.07502433898855504,75024.33898855504,2700,27.78679221798335,3.7541865264666955e-05,0.037541865264666956,0,49823.0947816
76,158.71951219512195,0.0006,1,138.41449348123896,7.13187130479521,2.448,15.016361729691667,21.772708132937936,21772708.132937934,2700,8063.9659751621975,0.001130694263894005,1.130694263894005,0,51420.2602257
78,71.5,0.0006,1,27.264241071501935,0.7732505295925703,0.23,20.966666412353515,0.06099891513141349,60998.915131413494,2700,22.592190789412406,2.9217168207199737e-05,0.029217168207199738,0,52180.1018763
